Nº NFSe;Data Emissão;Competencia;Codigo NFS-e;Situação Nota;Situação Pagamento;CPF/CNPJ Prestador;CMC Prestador;Razão Social Prestador;CPF/CNPJ/Tomador;CMC Tomador;Razão Social Tomador;Vl. do Serv.;Deduções/Reduções;Alíquota (%);Retenção;ISSQN Apurado;Tributação ISSQN;Regime Apuração;Tipo Retenção;Cód. Lista Serv.;Regime Tributário;Regime Especial;Cód. NBS;Local Prestação;Local Incidência;Local Tomador;Local Prestador;Descrição do Serviço
2600000000012;19/02/2026;02/2026;26079011244952581000137260000000001226023211436565;Normal;Quitada;44.952.581/0001-37;1088408;REFRI MASTER CLIMATIZACAO E REFRIGERACAO LTDA;37.992.093/0001-98;1000179;B2C CONFECCOES LTDA;550,00;0,00;5,00;27,50;27,50;1;;Retido pelo Tomador;140101;Não Optante;Nenhum;;Jaboatão Dos Guararapes - PE;Jaboatão Dos Guararapes - PE;Jaboatão Dos Guararapes - PE;Jaboatão Dos Guararapes - PE;NOTA B2C - PREVENTIVA FEVEREIRO/26 - 02 HIGIENIZAÇÃO COMPLETA (INTERNA E EXTERNA ) - ?01 TROCA DO PRÉ FILTRO  - ?01 TROCA DO FILTRO DE ANTI-ODOR - ?02 SUBSTITUIÇÃO DAS MANGUEIRAS (INTERNA E EXTERNA)  *VALOR: R$550,00 (QUINHENTOS E CINQUENTA REAIS)*
2600000000011;18/02/2026;02/2026;26079011244952581000137260000000001126029339926866;Normal;Em Aberto;44.952.581/0001-37;1088408;REFRI MASTER CLIMATIZACAO E REFRIGERACAO LTDA;01.704.331/0008-41;;INFRALINK SERVICOS DE INFRA-ESTRUTURA EMPRESARIAL LTDA;1.875,00;0,00;5,00;0,00;93,75;1;;Não Retido;140101;Não Optante;Nenhum;;Jaboatão Dos Guararapes - PE;Jaboatão Dos Guararapes - PE;Recife - PE;Jaboatão Dos Guararapes - PE;14 HIGIENIZACOES (PURIFICADOR E FILTRO)  14 X R$ 130,00 = R$ 1.820,00  1 NIPLE JOELHO (PEÇA) = R$ 55,00  TOTAL: R$ 1.875,00 (MIL OITOCENTOS E SETENTA E CINCO REAIS) 
2600000000010;18/02/2026;02/2026;26079011244952581000137260000000001026025156138790;Normal;Em Aberto;44.952.581/0001-37;1088408;REFRI MASTER CLIMATIZACAO E REFRIGERACAO LTDA;01.704.331/0008-41;;INFRALINK SERVICOS DE INFRA-ESTRUTURA EMPRESARIAL LTDA;2.600,00;0,00;5,00;0,00;130,00;1;;Não Retido;140101;Não Optante;Nenhum;;Jaboatão Dos Guararapes - PE;Jaboatão Dos Guararapes - PE;Recife - PE;Jaboatão Dos Guararapes - PE;20 HIGIENIZACOES (PURIFICADOR E FILTRO)  20 X R$ 130,00 = R$ 2.600,00  TOTAL: R$ 2.600,00 (DOIS MIL E SEISCENTOS REAIS) 
2600000000009;03/02/2026;02/2026;26079011244952581000137260000000000926028088747395;Normal;Em Aberto;44.952.581/0001-37;1088408;REFRI MASTER CLIMATIZACAO E REFRIGERACAO LTDA;33.007.660/0001-53;;IRAPUAN MAGALHAES LUCENA 16598342449;510,00;0,00;5,00;0,00;25,50;1;;Não Retido;140101;Não Optante;Nenhum;;Jaboatão Dos Guararapes - PE;Jaboatão Dos Guararapes - PE;Recife - PE;Jaboatão Dos Guararapes - PE;CARGA DE GÁS R$ 250,00 TAPA FUGA R$ 180,00  MAO DE OBRA R$ 80,00 TOTAL R$ 510,00 
