Nº NFSe;Data Emissão;Competencia;Codigo NFS-e;Situação Nota;Situação Pagamento;CPF/CNPJ Prestador;CMC Prestador;Razão Social Prestador;CPF/CNPJ/Tomador;CMC Tomador;Razão Social Tomador;Vl. do Serv.;Deduções/Reduções;Alíquota (%);Retenção;ISSQN Apurado;Tributação ISSQN;Regime Apuração;Tipo Retenção;Cód. Lista Serv.;Regime Tributário;Regime Especial;Cód. NBS;Local Prestação;Local Incidência;Local Tomador;Local Prestador;Descrição do Serviço
2600000000008;09/01/2026;01/2026;26079011244952581000137260000000000826014572559832;Normal;Em Aberto;44.952.581/0001-37;1088408;REFRI MASTER CLIMATIZACAO E REFRIGERACAO LTDA;01.704.331/0008-41;;INFRALINK SERVIÇOS DE INFRA-ESTRUTURA EMPRESARIAL LTDA;4.030,00;0,00;5,00;0,00;201,50;1;;Não Retido;140101;Não Optante;Nenhum;;Jaboatão Dos Guararapes - PE;Jaboatão Dos Guararapes - PE;Recife - PE;Jaboatão Dos Guararapes - PE;MANUTENCAO PREVENTIVA ACHE JANEIRO / 2026  SERVIÇO + PEÇA  14 HIGIENIZACOES (PURIFICADOR E FILTRO)  14X130,00 =1.820,00  70M DE MANGUEIRA 1/4 = 70 X 30,00 = R$ 2.100,00  2 NIPLE JOELHO = 2X R$ 55,00 = R$ 110,00  TOTAL: R$ 4.030,00 (QUATRO MIL E TRINTA REAIS 
2600000000007;09/01/2026;01/2026;26079011244952581000137260000000000726016170564869;Normal;Em Aberto;44.952.581/0001-37;1088408;REFRI MASTER CLIMATIZACAO E REFRIGERACAO LTDA;01.704.331/0008-41;;INFRALINK SERVIÇOS DE INFRA-ESTRUTURA EMPRESARIAL LTDA;2.600,00;0,00;5,00;0,00;130,00;1;;Não Retido;140101;Não Optante;Nenhum;;Jaboatão Dos Guararapes - PE;Jaboatão Dos Guararapes - PE;Recife - PE;Jaboatão Dos Guararapes - PE;MANUTENCAO PREVENTIVA ACHE JANEIRO / 2026  20 HIGIENIZAÇÕES (PURIFICADOR E FILTRO)  20X 130,00 =2.600,00  TOTAL: R$ 2.600,00 ( DOIS MIL E SEISCENTOS REAIS) 
2600000000006;05/01/2026;01/2026;26079011244952581000137260000000000626013059027577;Normal;Em Aberto;44.952.581/0001-37;1088408;REFRI MASTER CLIMATIZACAO E REFRIGERACAO LTDA;37.992.093/0001-98;1000179;B2C CONFECCOES LTDA;550,00;0,00;5,00;0,00;27,50;1;;Não Retido;140101;Não Optante;Nenhum;;Jaboatão Dos Guararapes - PE;Jaboatão Dos Guararapes - PE;Jaboatão Dos Guararapes - PE;Jaboatão Dos Guararapes - PE;PREVENTIVA JANEIRO/26 - 02 HIGIENIZAÇAO COMPLETA (INTERNA E EXTERNA); 01 TROCA DO PRE FILTRO; 01 TROCA DO FILTRO DE ANTI-ODOR; 02 SUBSTITUIÇOES DAS MANGUEIRAS (INTERNA E EXTERNA)
